Date,Open,High,Low,Close,Volume
2024-03-06,1341.0,1341.0,1341.0,1341.0,0.0
2024-03-07,1341.0,1341.0,1341.0,1341.0,0.0
2024-03-08,1341.0,1341.0,1341.0,1341.0,0.0
2024-03-11,1341.0,1341.0,1341.0,1341.0,0.0
2024-03-12,1341.0,1341.0,1341.0,1341.0,0.0
2024-03-13,1341.0,1341.0,1341.0,1341.0,0.0
2024-03-14,1341.0,1341.0,1341.0,1341.0,0.0
2024-03-15,1341.0,1341.0,1341.0,1341.0,0.0
2024-03-18,1341.0,1537.0,1075.0,1184.0,8376420.0
2024-03-19,1187.0,1188.0,1032.0,1041.0,1661500.0
2024-03-20,1250.0,1354.0,1195.0,1195.0,7740461.0
2024-03-21,1173.0,1191.0,1110.0,1110.0,1091329.0
2024-03-22,1169.0,1170.0,1086.0,1090.0,781881.0
2024-03-25,1090.0,1140.0,1044.0,1048.0,387272.0
2024-03-26,1056.0,1064.0,1030.0,1035.0,235251.0
2024-03-27,1040.0,1045.0,1004.0,1013.0,170230.0
2024-03-28,1018.0,1038.0,1004.0,1016.0,183955.0
2024-03-29,1025.0,1034.0,1005.0,1025.0,219738.0
2024-04-01,1027.0,1116.0,1018.0,1052.0,415176.0
2024-04-02,1060.0,1367.0,1060.0,1194.0,11093528.0
2024-04-03,1130.0,1163.0,1068.0,1083.0,1708890.0
2024-04-04,1091.0,1353.0,1082.0,1117.0,5932040.0
2024-04-05,1125.0,1428.0,1125.0,1295.0,12804206.0
2024-04-08,1260.0,1295.0,1176.0,1180.0,1412563.0
2024-04-09,1240.0,1430.0,1220.0,1250.0,4039109.0
2024-04-11,1328.0,1328.0,1192.0,1231.0,1013609.0
2024-04-12,1252.0,1252.0,1165.0,1183.0,563883.0
2024-04-15,1156.0,1175.0,1081.0,1120.0,654697.0
2024-04-16,1130.0,1130.0,1050.0,1069.0,417847.0
2024-04-17,1069.0,1140.0,1069.0,1082.0,213817.0
2024-04-18,1084.0,1138.0,1084.0,1103.0,298029.0
2024-04-19,1112.0,1114.0,1066.0,1074.0,225822.0
2024-04-22,1075.0,1108.0,1075.0,1088.0,308031.0
2024-04-23,1096.0,1114.0,1076.0,1082.0,297530.0
2024-04-24,1090.0,1095.0,1068.0,1068.0,259909.0
2024-04-25,1072.0,1081.0,1050.0,1051.0,276532.0
2024-04-26,1050.0,1090.0,996.0,996.0,404731.0
2024-04-29,1019.0,1019.0,960.0,975.0,451298.0
2024-04-30,985.0,1212.0,955.0,1029.0,6417410.0
2024-05-02,1029.0,1153.0,1003.0,1058.0,1924368.0
2024-05-03,1080.0,1080.0,1051.0,1053.0,284438.0
2024-05-07,1071.0,1075.0,1037.0,1039.0,298439.0
2024-05-08,1052.0,1133.0,1047.0,1047.0,597077.0
2024-05-09,1055.0,1065.0,1050.0,1050.0,244503.0
2024-05-10,1055.0,1061.0,1044.0,1049.0,161289.0
2024-05-13,1054.0,1065.0,1043.0,1045.0,129460.0
2024-05-14,1050.0,1051.0,1040.0,1046.0,117431.0
2024-05-16,1051.0,1063.0,1039.0,1041.0,135263.0
2024-05-17,1041.0,1055.0,1007.0,1011.0,183545.0
2024-05-20,1043.0,1043.0,1001.0,1017.0,187970.0
2024-05-21,1017.0,1020.0,996.0,1000.0,105742.0
2024-05-22,765.0,795.0,756.0,778.0,7105621.0
2024-05-23,777.0,785.0,761.0,779.0,1384625.0
2024-05-24,779.0,787.0,768.0,772.0,1163454.0
2024-05-27,772.0,784.0,770.0,772.0,922078.0
2024-05-28,772.0,776.0,763.0,764.0,732211.0
2024-05-29,763.0,764.0,713.0,718.0,1558779.0
2024-05-30,715.0,735.0,680.0,715.0,975225.0
2024-05-31,715.0,729.0,691.0,697.0,502217.0
2024-06-03,693.0,721.0,685.0,706.0,511759.0
2024-06-04,706.0,710.0,691.0,691.0,360702.0
2024-06-05,691.0,699.0,676.0,684.0,504606.0
2024-06-07,684.0,691.0,678.0,684.0,384600.0
2024-06-10,677.0,687.0,660.0,662.0,559996.0
2024-06-11,663.0,678.0,650.0,656.0,422650.0
2024-06-12,654.0,665.0,639.0,643.0,502496.0
2024-06-13,644.0,765.0,638.0,660.0,3077798.0
2024-06-14,666.0,669.0,642.0,643.0,426915.0
2024-06-17,649.0,718.0,647.0,698.0,2625857.0
2024-06-18,688.0,727.0,670.0,694.0,1465893.0
2024-06-19,689.0,689.0,662.0,663.0,741363.0
2024-06-20,672.0,675.0,651.0,652.0,416885.0
2024-06-21,654.0,658.0,643.0,657.0,342293.0
2024-06-24,657.0,675.0,641.0,655.0,364356.0
2024-06-25,655.0,686.0,649.0,686.0,541493.0
2024-06-26,698.0,745.0,670.0,678.0,1333355.0
2024-06-27,681.0,681.0,662.0,667.0,366749.0
2024-06-28,667.0,668.0,653.0,654.0,246660.0
2024-07-01,651.0,659.0,642.0,647.0,277116.0
2024-07-02,648.0,655.0,641.0,647.0,163296.0
2024-07-03,647.0,652.0,637.0,643.0,248357.0
2024-07-04,641.0,716.0,641.0,671.0,1679108.0
2024-07-05,671.0,674.0,657.0,660.0,281881.0
2024-07-08,661.0,671.0,647.0,667.0,412758.0
2024-07-09,692.0,703.0,668.0,676.0,538148.0
2024-07-10,676.0,694.0,675.0,686.0,234736.0
2024-07-11,689.0,705.0,674.0,686.0,535785.0
2024-07-12,686.0,700.0,651.0,673.0,635000.0
2024-07-15,672.0,685.0,666.0,682.0,176083.0
2024-07-16,689.0,690.0,670.0,676.0,155143.0
2024-07-17,676.0,683.0,635.0,655.0,714100.0
2024-07-18,651.0,655.0,640.0,643.0,212491.0
2024-07-19,645.0,660.0,641.0,642.0,194765.0
2024-07-22,642.0,645.0,620.0,632.0,193349.0
2024-07-23,629.0,638.0,618.0,621.0,200842.0
2024-07-24,622.0,630.0,600.0,614.0,185838.0
2024-07-25,614.0,639.0,599.0,600.0,286141.0
2024-07-26,601.0,611.0,577.0,589.0,556258.0
2024-07-29,593.0,600.0,578.0,597.0,261570.0
2024-07-30,599.0,603.0,586.0,592.0,212873.0
2024-07-31,586.0,597.0,583.0,590.0,106831.0
2024-08-01,590.0,658.0,590.0,615.0,1234379.0
2024-08-02,595.0,612.0,581.0,585.0,339800.0
2024-08-05,585.0,585.0,503.0,530.0,717419.0
2024-08-06,530.0,555.0,530.0,551.0,276475.0
2024-08-07,551.0,560.0,531.0,552.0,162901.0
2024-08-08,552.0,552.0,541.0,550.0,117856.0
2024-08-09,546.0,580.0,546.0,567.0,372024.0
2024-08-12,572.0,585.0,568.0,575.0,213028.0
2024-08-13,584.0,585.0,560.0,560.0,188055.0
2024-08-14,565.0,572.0,546.0,561.0,251029.0
2024-08-16,563.0,568.0,551.0,566.0,171043.0
2024-08-19,570.0,570.0,554.0,567.0,182792.0
2024-08-20,571.0,609.0,569.0,587.0,496382.0
2024-08-21,587.0,610.0,586.0,595.0,184988.0
2024-08-22,595.0,629.0,587.0,616.0,585459.0
2024-08-23,613.0,630.0,595.0,614.0,312632.0
2024-08-26,614.0,620.0,600.0,605.0,139281.0
2024-08-27,605.0,620.0,599.0,612.0,111576.0
2024-08-28,613.0,613.0,599.0,609.0,192782.0
2024-08-29,613.0,613.0,598.0,606.0,132548.0
2024-08-30,614.0,617.0,585.0,595.0,232291.0
2024-09-02,595.0,609.0,580.0,586.0,221446.0
2024-09-03,586.0,599.0,582.0,586.0,78749.0
2024-09-04,584.0,584.0,558.0,571.0,238364.0
2024-09-05,570.0,578.0,550.0,562.0,151397.0
2024-09-06,562.0,564.0,535.0,557.0,130437.0
2024-09-09,555.0,575.0,542.0,568.0,142388.0
2024-09-10,573.0,578.0,561.0,561.0,60083.0
2024-09-11,559.0,572.0,559.0,572.0,90550.0
2024-09-12,572.0,612.0,572.0,598.0,504135.0
2024-09-13,600.0,619.0,594.0,605.0,160719.0
2024-09-19,602.0,605.0,576.0,595.0,174558.0
2024-09-20,599.0,599.0,560.0,588.0,230803.0
2024-09-23,587.0,587.0,560.0,562.0,253328.0
2024-09-24,558.0,572.0,554.0,571.0,154110.0
2024-09-25,570.0,573.0,565.0,568.0,113872.0
2024-09-26,570.0,578.0,560.0,568.0,72566.0
2024-09-27,569.0,579.0,560.0,571.0,161321.0
2024-09-30,575.0,575.0,560.0,560.0,87112.0
2024-10-02,550.0,566.0,547.0,557.0,102759.0
2024-10-04,558.0,563.0,553.0,556.0,38380.0
2024-10-07,556.0,556.0,540.0,550.0,144707.0
2024-10-08,550.0,553.0,542.0,546.0,94184.0
2024-10-10,546.0,548.0,531.0,532.0,225463.0
2024-10-11,532.0,536.0,525.0,528.0,129951.0
2024-10-14,532.0,537.0,513.0,517.0,150685.0
2024-10-15,511.0,513.0,503.0,509.0,317255.0
2024-10-16,510.0,517.0,507.0,512.0,118876.0
2024-10-17,517.0,540.0,513.0,536.0,255942.0
2024-10-18,544.0,546.0,537.0,543.0,192309.0
2024-10-21,545.0,553.0,528.0,542.0,206769.0
2024-10-22,540.0,550.0,526.0,536.0,93500.0
2024-10-23,539.0,544.0,503.0,536.0,174564.0
2024-10-24,536.0,537.0,511.0,519.0,82690.0
2024-10-25,519.0,540.0,509.0,511.0,154138.0
2024-10-28,515.0,528.0,505.0,512.0,89665.0
2024-10-29,513.0,520.0,510.0,517.0,87360.0
2024-10-30,517.0,525.0,512.0,521.0,79999.0
2024-10-31,526.0,528.0,516.0,524.0,60751.0
2024-11-01,510.0,530.0,510.0,523.0,81145.0
2024-11-04,525.0,529.0,511.0,523.0,79180.0
2024-11-05,526.0,536.0,523.0,531.0,129088.0
2024-11-06,531.0,570.0,531.0,542.0,342438.0
2024-11-07,560.0,565.0,535.0,535.0,123709.0
2024-11-08,567.0,567.0,535.0,539.0,153118.0
2024-11-11,539.0,552.0,513.0,513.0,222886.0
2024-11-12,513.0,521.0,500.0,510.0,212623.0
2024-11-13,506.0,512.0,481.0,481.0,223280.0
2024-11-14,486.0,491.0,460.0,474.0,192406.0
2024-11-15,475.0,480.0,441.0,473.0,392479.0
2024-11-18,470.0,486.0,468.0,486.0,105971.0
2024-11-19,486.0,493.0,475.0,485.0,65728.0
2024-11-20,480.0,487.0,471.0,471.0,73476.0
2024-11-21,490.0,490.0,467.0,469.0,188676.0
2024-11-22,470.0,481.0,463.0,465.0,116208.0
2024-11-25,465.0,473.0,460.0,467.0,116433.0
2024-11-26,467.0,475.0,449.0,454.0,245055.0
2024-11-27,458.0,467.0,446.0,450.0,279517.0
2024-11-28,452.0,467.0,447.0,461.0,141114.0
2024-11-29,464.0,464.0,441.0,445.0,150611.0
2024-12-02,447.0,449.0,434.0,437.0,172423.0
2024-12-03,437.0,449.0,425.0,432.0,147820.0
2024-12-04,435.0,435.0,420.0,421.0,239103.0
2024-12-05,421.0,423.0,409.0,409.0,192864.0
2024-12-06,393.0,439.0,393.0,434.0,378914.0
2024-12-09,440.0,440.0,405.0,422.0,227899.0
2024-12-10,421.0,440.0,418.0,440.0,336269.0
2024-12-11,441.0,533.0,435.0,483.0,1932315.0
2024-12-12,491.0,530.0,475.0,498.0,578378.0
2024-12-13,489.0,496.0,468.0,493.0,323806.0
2024-12-16,493.0,520.0,486.0,513.0,468432.0
2024-12-17,525.0,525.0,473.0,511.0,637146.0
2024-12-18,501.0,502.0,465.0,499.0,428703.0
2024-12-19,493.0,512.0,487.0,509.0,264858.0
2024-12-20,509.0,514.0,474.0,483.0,397975.0
2024-12-23,480.0,505.0,480.0,490.0,206509.0
2024-12-24,496.0,506.0,459.0,469.0,386800.0
2024-12-26,469.0,481.0,450.0,452.0,208468.0
2024-12-27,460.0,460.0,444.0,444.0,102586.0
2024-12-30,440.0,458.0,440.0,454.0,94865.0
2025-01-02,454.0,461.0,454.0,459.0,54262.0
2025-01-03,459.0,484.0,448.0,480.0,189647.0
2025-01-06,480.0,488.0,472.0,488.0,88499.0
2025-01-07,490.0,501.0,488.0,488.0,170831.0
2025-01-08,499.0,499.0,481.0,482.0,93545.0
2025-01-09,483.0,496.0,472.0,477.0,89049.0
2025-01-10,476.0,499.0,456.0,474.0,342277.0
2025-01-13,489.0,490.0,460.0,476.0,127941.0
2025-01-14,466.0,472.0,452.0,461.0,187511.0
2025-01-15,466.0,476.0,452.0,453.0,141354.0
2025-01-16,456.0,463.0,449.0,449.0,81887.0
2025-01-17,456.0,456.0,446.0,454.0,118945.0
2025-01-20,454.0,460.0,448.0,452.0,90689.0
2025-01-21,449.0,461.0,447.0,449.0,133796.0
2025-01-22,452.0,454.0,432.0,432.0,231625.0
2025-01-23,435.0,443.0,429.0,429.0,219817.0
2025-01-24,431.0,440.0,429.0,436.0,75094.0
2025-01-31,437.0,441.0,417.0,423.0,179901.0
2025-02-03,423.0,423.0,391.0,404.0,280071.0
2025-02-04,405.0,415.0,404.0,411.0,142086.0
2025-02-05,411.0,421.0,409.0,410.0,107505.0
2025-02-06,416.0,416.0,396.0,406.0,278507.0
2025-02-07,406.0,407.0,400.0,403.0,119474.0
2025-02-10,403.0,407.0,397.0,401.0,94548.0
2025-02-11,402.0,409.0,396.0,397.0,236487.0
2025-02-12,397.0,404.0,381.0,390.0,209720.0
2025-02-13,391.0,402.0,390.0,395.0,171906.0
2025-02-14,400.0,400.0,388.0,395.0,156337.0
2025-02-17,391.0,400.0,391.0,394.0,126342.0
2025-02-18,394.0,396.0,388.0,389.0,148909.0
2025-02-19,394.0,394.0,389.0,392.0,117710.0
2025-02-20,394.0,400.0,391.0,394.0,109429.0
2025-02-21,395.0,459.0,395.0,422.0,3963426.0
2025-02-24,430.0,432.0,412.0,413.0,250437.0
2025-02-25,413.0,486.0,413.0,432.0,3281250.0
2025-02-26,438.0,438.0,419.0,430.0,309504.0
2025-02-27,433.0,437.0,420.0,421.0,184812.0
2025-02-28,421.0,421.0,408.0,408.0,178289.0
2025-03-04,422.0,422.0,393.0,400.0,135979.0
2025-03-05,400.0,410.0,400.0,410.0,130008.0
2025-03-06,417.0,422.0,405.0,420.0,199173.0
2025-03-07,433.0,433.0,409.0,410.0,123901.0
2025-03-10,411.0,417.0,405.0,410.0,98908.0
2025-03-11,410.0,410.0,392.0,396.0,320518.0
2025-03-12,400.0,401.0,374.0,395.0,108290.0
2025-03-13,407.0,407.0,392.0,395.0,89094.0
2025-03-14,397.0,399.0,391.0,396.0,62377.0
2025-03-17,396.0,400.0,385.0,388.0,146445.0
2025-03-18,390.0,396.0,387.0,394.0,90418.0
2025-03-19,386.0,391.0,383.0,385.0,155731.0
2025-03-20,387.0,438.0,380.0,406.0,782722.0
2025-03-21,403.0,404.0,390.0,390.0,215562.0
2025-03-24,390.0,397.0,382.0,391.0,83623.0
2025-03-25,386.0,400.0,386.0,388.0,69306.0
2025-03-26,388.0,392.0,385.0,388.0,78475.0
2025-03-27,402.0,403.0,386.0,389.0,124174.0
2025-03-28,389.0,390.0,380.0,388.0,127403.0
2025-03-31,386.0,386.0,372.0,375.0,181485.0
2025-04-01,375.0,381.0,371.0,377.0,55813.0
